AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,HostProviderName,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceProviderName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,Tags,ProviderName,PublisherName,PricingCurrency,SubAccountType,InvoiceId,AllocatedMethodDetails,AllocatedMethodId,AllocatedResourceId,AllocatedResourceName,AllocatedTags,ContractApplied,BillingAccountType,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice
,35515.20,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Purchase,,Compute Flexible Spend Plan commitment purchase,Recurring,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,35515.20,,Flexible Spend Plan,USD,,,35515.20,1.00,0.00,,Aura Web,35515.20,1.00,Standard,35515.20,USD,us-east-1,US East (N. Virginia),auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Commitment,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-PURCHASE,AURAWEB-USEAST1-COMPUTE-PURCHASE,,AURAWEB-USEAST1-COMPUTE-PURCHASE-MONTHLY,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,1.00,0.00,1.00
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T01:00:00Z,2026-02-01T00:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000000,instance-0000,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T02:00:00Z,2026-02-01T01:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000001,instance-0001,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T03:00:00Z,2026-02-01T02:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000002,instance-0002,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T04:00:00Z,2026-02-01T03:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000003,instance-0003,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T05:00:00Z,2026-02-01T04:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000004,instance-0004,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T06:00:00Z,2026-02-01T05:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000005,instance-0005,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T07:00:00Z,2026-02-01T06:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000006,instance-0006,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T08:00:00Z,2026-02-01T07:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000007,instance-0007,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
us-east-1a,0.00,ACCT-123456789012,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Aura Web Compute committed usage,Usage-Based,2026-02-01T09:00:00Z,2026-02-01T08:00:00Z,Spend,auraweb:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,52.85,Used,Flexible Spend Plan,USD,1.00,Hours,79.28,79.28,52.85,,Aura Web,79.28,79.28,Committed,1.00,Hours,us-east-1,US East (N. Virginia),auraweb:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000008,instance-0008,AuraWeb::Compute::Instance,Compute,Aura Web Compute,,Compute Instances,AURAWEB-USEAST1-COMPUTE-USAGE,AURAWEB-USEAST1-COMPUTE-USAGE,,AURAWEB-USEAST1-COMPUTE-USAGE-COMMITTED,ACCT-987654321098,Development Team,,Aura Web,Aura Web,USD,,INV-AURAWEB-2026-001,,,,,,,,79.28,52.85,79.28
