BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BillingAccountId,BillingAccountName,SubAccountId,SubAccountName,InvoiceIssuerName,ProviderName,PublisherName,ServiceName,ServiceCategory,ServiceSubcategory,InvoiceId,RegionId,RegionName,AvailabilityZone,BilledCost,EffectiveCost,ListCost,BillingCurrency,PricingCategory,PricingQuantity,PricingUnit,ListUnitPrice,ContractedUnitPrice,ContractedCost,ResourceId,ResourceName,ResourceType,ConsumedQuantity,ConsumedUnit,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountQuantity,CommitmentDiscountUnit,CommitmentDiscountStatus,SkuId,SkuPriceId
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2027-02-01T00:00:00Z,Purchase,,Compute Flexible Spend Plan commitment purchase,One-Time,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),,223993.20,0.00,223993.20,USD,Standard,223993.20,USD,1.00,1.00,223993.20,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Commitment,,,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,447986.40,USD,,AW-USEAST1-COMPUTE-PURCHASE,AW-USEAST1-COMPUTE-PURCHASE-UPFRONT
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,Purchase,,Compute Flexible Spend Plan commitment purchase,Recurring,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),,17183.04,0.00,17183.04,USD,Standard,17183.04,USD,1.00,1.00,17183.04,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Commitment,,,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,34366.08,USD,,AW-USEAST1-COMPUTE-PURCHASE,AW-USEAST1-COMPUTE-PURCHASE-RECURRING
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T01:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000000,instance-0000,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T01:00:00Z,2026-02-01T02:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000001,instance-0001,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T02:00:00Z,2026-02-01T03:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000002,instance-0002,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T03:00:00Z,2026-02-01T04:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000003,instance-0003,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T04:00:00Z,2026-02-01T05:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000004,instance-0004,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T05:00:00Z,2026-02-01T06:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000005,instance-0005,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T06:00:00Z,2026-02-01T07:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000006,instance-0006,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T07:00:00Z,2026-02-01T08:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,51.14,76.71,USD,Committed,1.00,Hours,76.71,76.71,76.71,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000007,instance-0007,AW::Compute::Instance,1.00,Hours,aw:flexspend::ACCT-123456789012:flexspendplan/fsp-abc123def456,Compute Flexible Spend Plan,Spend,Flexible Spend Plan,51.14,USD,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
