BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BillingAccountId,BillingAccountName,SubAccountId,SubAccountName,InvoiceIssuerName,ProviderName,PublisherName,ServiceName,ServiceCategory,ServiceSubcategory,InvoiceId,RegionId,RegionName,AvailabilityZone,BilledCost,EffectiveCost,ListCost,BillingCurrency,PricingCategory,PricingQuantity,PricingUnit,ListUnitPrice,ContractedUnitPrice,ContractedCost,ResourceId,ResourceName,ResourceType,ConsumedQuantity,ConsumedUnit,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountQuantity,CommitmentDiscountUnit,CommitmentDiscountStatus,SkuId,SkuPriceId
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2027-02-01T00:00:00Z,Purchase,,Compute Resource Reservation commitment purchase,One-Time,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),,402960.00,0.00,402960.00,USD,Standard,1.00,Units,402960.00,402960.00,402960.00,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Commitment,,,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,8760.00,Hours,,AW-USEAST1-COMPUTE-PURCHASE,AW-USEAST1-COMPUTE-PURCHASE-UPFRONT
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T01:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000000,instance-0000,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T01:00:00Z,2026-02-01T02:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000001,instance-0001,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T02:00:00Z,2026-02-01T03:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000002,instance-0002,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T03:00:00Z,2026-02-01T04:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000003,instance-0003,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T04:00:00Z,2026-02-01T05:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000004,instance-0004,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T05:00:00Z,2026-02-01T06:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000005,instance-0005,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T06:00:00Z,2026-02-01T07:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000006,instance-0006,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T07:00:00Z,2026-02-01T08:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000007,instance-0007,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T08:00:00Z,2026-02-01T09:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000008,instance-0008,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T09:00:00Z,2026-02-01T10:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000009,instance-0009,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T10:00:00Z,2026-02-01T11:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc0000000a,instance-0010,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T11:00:00Z,2026-02-01T12:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc0000000b,instance-0011,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T12:00:00Z,2026-02-01T13:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc0000000c,instance-0012,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T13:00:00Z,2026-02-01T14:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc0000000d,instance-0013,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T14:00:00Z,2026-02-01T15:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc0000000e,instance-0014,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T15:00:00Z,2026-02-01T16:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc0000000f,instance-0015,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T16:00:00Z,2026-02-01T17:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000010,instance-0016,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T17:00:00Z,2026-02-01T18:00:00Z,Usage,,Aura Web Compute committed usage,Usage-Based,ACCT-123456789012,Acme Corp Production Account,ACCT-987654321098,Development Team,Aura Web,Aura Web,Aura Web,Aura Web Compute,Compute,Compute Instances,INV-AW-2026-001,us-east-1,US East (N. Virginia),us-east-1a,0.00,46.00,69.00,USD,Committed,1.00,Hours,69.00,69.00,69.00,aw:compute:us-east-1:ACCT-123456789012:instance/i-0abc00000011,instance-0017,AW::Compute::Instance,1.00,Hours,aw:compute:us-east-1:ACCT-123456789012:resource-reservations/rr-abc123def456,Compute Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,AW-USEAST1-COMPUTE-USAGE,AW-USEAST1-COMPUTE-USAGE-COMMITTED
