BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BillingAccountId,BillingAccountName,SubAccountId,SubAccountName,InvoiceIssuerName,ProviderName,PublisherName,ServiceName,ServiceCategory,ServiceSubcategory,InvoiceId,RegionId,RegionName,AvailabilityZone,BilledCost,EffectiveCost,ListCost,BillingCurrency,PricingCategory,PricingQuantity,PricingUnit,ListUnitPrice,ContractedUnitPrice,ContractedCost,ResourceId,ResourceName,ResourceType,ConsumedQuantity,ConsumedUnit,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountQuantity,CommitmentDiscountUnit,CommitmentDiscountStatus,SkuId,SkuPriceId
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,Purchase,,Virtual Machine Reserved Instance commitment purchase,Recurring,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,,55333.33,0.00,55333.33,USD,Standard,1.00,Units,55333.33,55333.33,55333.33,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Commitment,,,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,,Hours,,Azure-EASTUS-COMPUTE-PURCHASE,Azure-EASTUS-COMPUTE-PURCHASE-MONTHLY
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T01:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0000,instance-0000,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T01:00:00Z,2026-02-01T02:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0001,instance-0001,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T02:00:00Z,2026-02-01T03:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0002,instance-0002,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T03:00:00Z,2026-02-01T04:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0003,instance-0003,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T04:00:00Z,2026-02-01T05:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0004,instance-0004,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T05:00:00Z,2026-02-01T06:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0005,instance-0005,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T06:00:00Z,2026-02-01T07:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0006,instance-0006,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T07:00:00Z,2026-02-01T08:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0007,instance-0007,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T08:00:00Z,2026-02-01T09:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Azure Enterprise Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,Microsoft Azure,Microsoft Azure,Microsoft,Virtual Machines,Compute,Compute Instances,INV-AZ-2026-001,eastus,East US,eastus-az1,0.00,75.80,113.70,USD,Committed,1.00,Hours,113.70,113.70,113.70,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/Microsoft.Compute/virtualMachines/vm-instance0008,instance-0008,Microsoft.Compute/virtualMachines,1.00,Hours,/subscriptions/f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/Microsoft.Capacity/reservationOrders/sp-789012345678,Virtual Machine Reserved Instance,Usage,Azure Reservation,1.00,Hours,Used,Azure-EASTUS-COMPUTE-USAGE,Azure-EASTUS-COMPUTE-USAGE-COMMITTED
