BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BillingAccountId,BillingAccountName,SubAccountId,SubAccountName,InvoiceIssuerName,ProviderName,PublisherName,ServiceName,ServiceCategory,ServiceSubcategory,InvoiceId,RegionId,RegionName,AvailabilityZone,BilledCost,EffectiveCost,ListCost,BillingCurrency,PricingCategory,PricingQuantity,PricingUnit,ListUnitPrice,ContractedUnitPrice,ContractedCost,ResourceId,ResourceName,ResourceType,ConsumedQuantity,ConsumedUnit,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountQuantity,CommitmentDiscountUnit,CommitmentDiscountStatus,SkuId,SkuPriceId
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2027-02-01T00:00:00Z,Purchase,,Resource Reservation commitment purchase,One-Time,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,,358021.20,0.00,358021.20,USD,Standard,1.00,Units,358021.20,358021.20,358021.20,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Commitment,,,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,8760.00,Hours,,CRESTNODE-EASTUS-COMPUTE-PURCHASE,CRESTNODE-EASTUS-COMPUTE-PURCHASE-UPFRONT
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T01:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0000,instance-0000,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T01:00:00Z,2026-02-01T02:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0001,instance-0001,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T02:00:00Z,2026-02-01T03:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0002,instance-0002,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T03:00:00Z,2026-02-01T04:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0003,instance-0003,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T04:00:00Z,2026-02-01T05:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0004,instance-0004,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T05:00:00Z,2026-02-01T06:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0005,instance-0005,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T06:00:00Z,2026-02-01T07:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0006,instance-0006,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T07:00:00Z,2026-02-01T08:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0007,instance-0007,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2026-02-01T08:00:00Z,2026-02-01T09:00:00Z,Usage,,CrestNode Compute committed usage,Usage-Based,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,CrestNode,CrestNode,CrestNode,CrestNode Compute,Compute,Compute Instances,INV-CRESTNODE-2026-001,eastus,East US,eastus-az1,0.00,40.87,61.31,USD,Committed,1.00,Hours,61.31,61.31,61.31,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0008,instance-0008,CrestNode.Compute/virtualMachines,1.00,Hours,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Usage,Resource Reservation,1.00,Hours,Used,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED
