AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,HostProviderName,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceProviderName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,Tags,ProviderName,PublisherName,PricingCurrency,SubAccountType,InvoiceId,AllocatedMethodDetails,AllocatedMethodId,AllocatedResourceId,AllocatedResourceName,AllocatedTags,ContractApplied,BillingAccountType,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice
,55334.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Purchase,,Resource Reservation commitment purchase,Recurring,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,672.00,,Resource Reservation,Hours,,,55334.00,55334.00,0.00,,CrestNode,55334.00,55334.00,Standard,1.00,Units,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,Commitment,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-PURCHASE,CRESTNODE-EASTUS-COMPUTE-PURCHASE,,CRESTNODE-EASTUS-COMPUTE-PURCHASE-MONTHLY,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,55334.00,0.00,55334.00
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T01:00:00Z,2026-02-01T00:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0000,instance-0000,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T02:00:00Z,2026-02-01T01:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0001,instance-0001,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T03:00:00Z,2026-02-01T02:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0002,instance-0002,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T04:00:00Z,2026-02-01T03:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0003,instance-0003,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T05:00:00Z,2026-02-01T04:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0004,instance-0004,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T06:00:00Z,2026-02-01T05:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0005,instance-0005,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T07:00:00Z,2026-02-01T06:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0006,instance-0006,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T08:00:00Z,2026-02-01T07:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0007,instance-0007,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
eastus-az1,0.00,a1b2c3d4-e5f6-7890-abcd-ef1234567890,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,CrestNode Compute committed usage,Usage-Based,2026-02-01T09:00:00Z,2026-02-01T08:00:00Z,Usage,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/providers/CrestNode.Capacity/reservationOrders/ro-789012345678,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,113.70,113.70,75.80,,CrestNode,113.70,113.70,Committed,1.00,Hours,eastus,East US,crestnode:subscriptions:f0e9d8c7-b6a5-4321-0987-654321fedcba/resourceGroups/prod-rg/providers/CrestNode.Compute/virtualMachines/vm-instance0008,instance-0008,CrestNode.Compute/virtualMachines,Compute,CrestNode Compute,,Compute Instances,CRESTNODE-EASTUS-COMPUTE-USAGE,CRESTNODE-EASTUS-COMPUTE-USAGE,,CRESTNODE-EASTUS-COMPUTE-USAGE-COMMITTED,sub-f0e9d8c7-b6a5-4321-0987-654321fedcba,Production Subscription,,CrestNode,CrestNode,USD,,INV-CRESTNODE-2026-001,,,,,,,,113.70,75.80,113.70
