AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,HostProviderName,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceProviderName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,Tags,ProviderName,PublisherName,PricingCurrency,SubAccountType,InvoiceId,AllocatedMethodDetails,AllocatedMethodId,AllocatedResourceId,AllocatedResourceName,AllocatedTags,ContractApplied,BillingAccountType,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice
,19790.40,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Purchase,,Resource Reservation commitment purchase,Recurring,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,672.00,,Resource Reservation,Hours,,,19790.40,19790.40,0.00,,LatticeScale,19790.40,19790.40,Standard,1.00,Units,us-central1,Iowa,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,Commitment,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-PURCHASE,LATTICESCALE-USCENTRAL1-COMPUTE-PURCHASE,,LATTICESCALE-USCENTRAL1-COMPUTE-PURCHASE-MONTHLY,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,19790.40,0.00,19790.40
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T01:00:00Z,2026-02-01T00:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0000,instance-0000,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T02:00:00Z,2026-02-01T01:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0001,instance-0001,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T03:00:00Z,2026-02-01T02:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0002,instance-0002,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T04:00:00Z,2026-02-01T03:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0003,instance-0003,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T05:00:00Z,2026-02-01T04:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0004,instance-0004,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T06:00:00Z,2026-02-01T05:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0005,instance-0005,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T07:00:00Z,2026-02-01T06:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0006,instance-0006,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T08:00:00Z,2026-02-01T07:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0007,instance-0007,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
us-central1-a,0.00,012345-6789AB-CDEF01,Acme Corp Production Account,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,LatticeScale Compute committed usage,Usage-Based,2026-02-01T09:00:00Z,2026-02-01T08:00:00Z,Usage,latticescale:compute:us-central1:proj-123456:commitment-discount/res-xyz987654321,Resource Reservation,1.00,Used,Resource Reservation,Hours,1.00,Hours,44.18,44.18,29.45,,LatticeScale,44.18,44.18,Committed,1.00,Hours,us-central1,Iowa,latticescale:compute:us-central1-a:proj-123456:instance/vm-instance-0008,instance-0008,LatticeScale.Compute/Instance,Compute,LatticeScale Compute,,Compute Instances,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE,,LATTICESCALE-USCENTRAL1-COMPUTE-USAGE-COMMITTED,my-project-123456,Production Project,,LatticeScale,LatticeScale,USD,,INV-LATTICESCALE-2026-001,,,,,,,,44.18,29.45,44.18
