AvailabilityZone,BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,CapacityReservationId,CapacityReservationStatus,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,CommitmentDiscountCategory,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountQuantity,CommitmentDiscountStatus,CommitmentDiscountType,CommitmentDiscountUnit,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,HostProviderName,InvoiceIssuerName,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,RegionId,RegionName,ResourceId,ResourceName,ResourceType,ServiceCategory,ServiceName,ServiceProviderName,ServiceSubcategory,SkuId,SkuMeter,SkuPriceDetails,SkuPriceId,SubAccountId,SubAccountName,Tags,ProviderName,PublisherName,PricingCurrency,SubAccountType,InvoiceId,AllocatedMethodDetails,AllocatedMethodId,AllocatedResourceId,AllocatedResourceName,AllocatedTags,ContractApplied,BillingAccountType,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice
,1200.0,000-00-000,MyBillingAcct,USD,2025-05-01T00:00:00Z,2025-04-01T00:00:00Z,,,Purchase,,Upfront payment covering usage for a 12-month period,One-Time,2026-04-01T00:00:00Z,2025-04-01T00:00:00Z,,,,,,,,,,1200.0,1200.0,0.00,,StoreStack,1200.0,1200.0,Standard,1.0,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,0.00,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2025-05-01T00:00:00Z,2025-04-01T00:00:00Z,,,Usage,,Monthly usage charge,Usage-Based,2025-05-01T00:00:00Z,2025-04-01T00:00:00Z,,,,,,,,4.0,Server Hours,48.0,12.0,48.0,,StoreStack,60.0,15.0,Standard,4.0,Server Hours,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,U-123,U-123,,U-123-2,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,12.0,48.0,15.0
,0.0,000-00-000,MyBillingAcct,USD,2025-05-01T00:00:00Z,2025-04-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2025-05-01T00:00:00Z,2025-04-01T00:00:00Z,,,,,,,,,,12.0,1200.0,12.0,,StoreStack,12.0,1200.0,Standard,0.01,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,12.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2025-06-01T00:00:00Z,2025-05-01T00:00:00Z,,,Usage,,Monthly usage charge,Usage-Based,2025-06-01T00:00:00Z,2025-05-01T00:00:00Z,,,,,,,,10.0,Server Hours,120.0,12.0,120.0,,StoreStack,150.0,15.0,Standard,10.0,Server Hours,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,U-123,U-123,,U-123-2,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,12.0,120.0,15.0
,0.0,000-00-000,MyBillingAcct,USD,2025-07-01T00:00:00Z,2025-06-01T00:00:00Z,,,Usage,,Monthly usage charge,Usage-Based,2025-07-01T00:00:00Z,2025-06-01T00:00:00Z,,,,,,,,5.0,Server Hours,60.0,12.0,60.0,,StoreStack,75.0,15.0,Standard,5.0,Server Hours,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,U-123,U-123,,U-123-2,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,12.0,60.0,15.0
,0.0,000-00-000,MyBillingAcct,USD,2025-08-01T00:00:00Z,2025-07-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2025-08-01T00:00:00Z,2025-07-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2025-09-01T00:00:00Z,2025-08-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2025-09-01T00:00:00Z,2025-08-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2025-10-01T00:00:00Z,2025-09-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2025-10-01T00:00:00Z,2025-09-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2025-11-01T00:00:00Z,2025-10-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2025-11-01T00:00:00Z,2025-10-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2025-12-01T00:00:00Z,2025-11-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2025-12-01T00:00:00Z,2025-11-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2026-01-01T00:00:00Z,2025-12-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2026-01-01T00:00:00Z,2025-12-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2026-02-01T00:00:00Z,2026-01-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,Usage,,Monthly unused fee,One-Time,2026-03-01T00:00:00Z,2026-02-01T00:00:00Z,,,,,,,,,,60.0,1200.0,60.0,,StoreStack,60.0,1200.0,Standard,0.05,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,60.0,1200.0
,0.0,000-00-000,MyBillingAcct,USD,2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,,,Usage,,End of contract unused fee,One-Time,2026-04-01T00:00:00Z,2025-04-01T00:00:00Z,,,,,,,,,,480.0,1200.0,480.0,,StoreStack,480.0,1200.0,Standard,0.4,Count,,,,,,Database,StoreStack DB,StoreStack,NoSQL Databases,C-004,C-004,,C-004-0,,,,StoreStack,StoreStack,USD,,,,,,,,,Customer,1200.0,480.0,1200.0
