ChargeCategory,ContractId,PricingCurrency,PricingCurrencyCategory,PricingRegionId,PricingServiceName,PricingUnit,PurchaseDurationType,PurchasePaymentModel,QuantityTierMaximum,QuantityTierMinimum,ServiceProviderName,SkuId,SkuPriceCreated,SkuPriceDescription,SkuPriceEffectiveEnd,SkuPriceEffectiveStart,SkuPriceEligibility,SkuPriceId,SkuPriceLastUpdated,UnitPrice,x_EffectiveUnitPrice
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-06-15T09:12:00Z,"Standard VM 8 vCPU 32 GB, Linux, on-demand",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-USEAST1-COMPUTE-ONDEMAND-STANDARD,2025-12-18T16:40:00Z,0.384000,0.384000
Purchase,,USD,Payable,us-east-1,Aura Web Compute,Units,1 Year,All Upfront,,0,Aura Web,AURAWEB-COMPUTE-RESERVATION-VM-STD,2025-12-18T16:40:00Z,"1-year Standard VM 8 vCPU 32 GB reservation, All Upfront commitment purchase",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-ALL-UPFRONT,2025-12-18T16:40:00Z,1893.600000,0.000000
Purchase,,USD,Payable,us-east-1,Aura Web Compute,Units,1 Year,Partial Upfront,,0,Aura Web,AURAWEB-COMPUTE-RESERVATION-VM-STD,2025-12-18T16:40:00Z,"1-year Standard VM 8 vCPU 32 GB reservation, Partial Upfront commitment purchase",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-PARTIAL-UPFRONT,2025-12-18T16:40:00Z,1998.800000,0.000000
Purchase,,USD,Payable,us-east-1,Aura Web Compute,Units,1 Year,No Upfront,,0,Aura Web,AURAWEB-COMPUTE-RESERVATION-VM-STD,2025-12-18T16:40:00Z,"1-year Standard VM 8 vCPU 32 GB reservation, No Upfront commitment purchase",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-NO-UPFRONT,2025-12-18T16:40:00Z,2104.000000,0.000000
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year All Upfront reservation",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-ALL-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.216164
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year Partial Upfront reservation",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-PARTIAL-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.228174
Usage,,USD,Payable,us-east-1,Aura Web Compute,Hours,,,,0,Aura Web,AURAWEB-COMPUTE-VM-STD-8X32,2025-12-18T16:40:00Z,"Standard VM 8 vCPU 32 GB, Linux covered by 1-year No Upfront reservation",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMPUTE-VM-STD-8X32-AURAWEB-COMPUTE-RESERVATION-VM-STD-1YR-NO-UPFRONT,2025-12-18T16:40:00Z,0.384000,0.240183
Purchase,,USD,Payable,us-east-1,Aura Web Compute,USD,1 Year,All Upfront,,0,Aura Web,AURAWEB-COMMITMENT-FLEXSPEND,2025-12-18T16:40:00Z,"1-year flexible spend plan, All Upfront commitment purchase",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMMITMENT-FLEXSPEND-1YR-ALL-UPFRONT,2025-12-18T16:40:00Z,0.900000,0.000000
Purchase,,USD,Payable,us-east-1,Aura Web Compute,USD,1 Year,Partial Upfront,,0,Aura Web,AURAWEB-COMMITMENT-FLEXSPEND,2025-12-18T16:40:00Z,"1-year flexible spend plan, Partial Upfront commitment purchase",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMMITMENT-FLEXSPEND-1YR-PARTIAL-UPFRONT,2025-12-18T16:40:00Z,0.950000,0.000000
Purchase,,USD,Payable,us-east-1,Aura Web Compute,USD,1 Year,No Upfront,,0,Aura Web,AURAWEB-COMMITMENT-FLEXSPEND,2025-12-18T16:40:00Z,"1-year flexible spend plan, No Upfront commitment purchase",,2026-01-01T00:00:00Z,"{""IsGlobalScope"":true}",AURAWEB-COMMITMENT-FLEXSPEND-1YR-NO-UPFRONT,2025-12-18T16:40:00Z,1.000000,0.000000
